,save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_threshold,auc_train,auc_test,outcome,outcome_label,alg,bootstrap_iteration
0,results/cart/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.025202873269999704,0.0200432326421685,0.3021467451768366,0.019041832379617617,-0.27527754538206173,0.15,0.7107798855766336,0.6829268292682926,Neutro4,Neutro4,cart,0
0,results/linear/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.3, 0.5, 0.7, 0.9])}","{'alpha': 1, 'l1_ratio': 0.5000000000000001}",-0.02657743672106787,0.022053049635415448,0.23217014233157096,0.010659131269346112,0.28613221195943217,0.15,0.7387834989461006,0.8341463414634146,Neutro4,Neutro4,linear,0
0,results/rf/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 25}",-0.02546714103358898,0.014842153272417625,0.48323480774504934,0.013331402006390167,0.10716378086549716,0.15,0.7744655224330022,0.6910569105691057,Neutro4,Neutro4,rf,0
0,results/cart/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.000824413576765492,0.0005458978203869481,0.32648296842815105,0.001372087818685206,-0.03647457853835068,0.1008105757875055,0.8158422459893048,0.6023391812865497,OTHER_34,OTHER_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.3, 0.5, 0.7, 0.9])}","{'alpha': 1, 'l1_ratio': 0.1}",-0.0008220283388313441,0.0006683491832237334,0.17540510123443387,0.0011865999501464843,0.10364288169234659,0.1008105757875055,0.7252673796791443,0.7945906432748538,OTHER_34,OTHER_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 25}",-0.0007913058869127293,0.0002934536955324526,0.6379431195041054,0.001191224513923363,0.10014948810172564,0.1008105757875055,0.8721590909090909,0.6695906432748538,OTHER_34,OTHER_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005311468718806318,0.003570372100539148,0.3708147217491077,0.00747259997732989,-0.010506037902875853,0.106,0.7988721804511278,0.6089181286549707,GINONV_34,GINONV_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.3, 0.5, 0.7, 0.9])}","{'alpha': 0.1, 'l1_ratio': 0.7000000000000001}",-0.005307241212487026,0.00397298890239043,0.29986397561734446,0.005831863393828219,0.21136777165022191,0.106,0.7540726817042606,0.7266081871345029,GINONV_34,GINONV_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 25}",-0.005594223912680694,0.002718863219937887,0.520871028735516,0.00547633807953695,0.2594448101386405,0.106,0.8594924812030075,0.6973684210526315,GINONV_34,GINONV_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005231380361890398,0.00412072092359786,0.32853787530358103,0.004672793752111623,0.09240001827853905,0.0818181984458151,0.6398729946524065,0.6055806938159879,CONSTITUTIONAL_34,CONSTITUTIONAL_34,cart,0
